i_move_id,i_id_pers,i_id_session,dt_start_utc,dt_end_utc,i_pid_start,i_pid_end,i_duration_secs,i_distance_m,r_speed_ms,geom_2154
32,8,0,2019-07-10 12:32:50+02,2019-07-10 12:36:30+02,25843,25886,220,237,1.08,01020000206A080000090000007306DAE27EDA2B41E233122CD8A058411C4476EB88DA2B41CE1E1DE4D7A05841702CAE4468DA2B411B67E863DAA0584152387E8B74DA2B4123022FAAD7A05841B284874684DA2B419271BC89D9A05841D2DE8BDE94DA2B41FA203544D8A05841B8C60100ADDA2B4125C392ACCDA05841979DD44D6ADA2B412732778FB1A05841D768733C77DA2B415F7E0167ADA05841
33,8,0,2019-07-10 13:31:35+02,2019-07-10 13:33:10+02,25889,25908,95,102,1.07,01020000206A0800000300000068A61B6FC8DA2B41BD70C72FB4A05841A0B15902C4DA2B41286905B7BBA05841D2DFE268F6DA2B415E53BB8DCCA05841
34,8,0,2019-07-10 14:27:28+02,2019-07-10 14:30:23+02,25946,25981,175,489,2.79,01020000206A0800000800000003AC7459FBDA2B415D234CB0E1A05841711B9F370BDB2B41725387ECE5A058419E23E6966FDB2B414C623062EFA05841D4A9DE8AAEDB2B41931EF1F0F2A05841B8BD71EE37DC2B414E57A0F0FFA058411932D4E055DD2B41A2DFA99813A15841BAF15B7CDCDD2B41F0359B1C22A158415AF3FD5D21DE2B418F810F4021A15841
35,8,0,2019-07-10 14:31:13+02,2019-07-10 14:36:08+02,25991,26050,295,1006,3.41,01020000206A0800000B000000249F41F714DE2B411FEB3D9121A158416E100A0268DE2B415040ACCD1DA15841A88535E10ADF2B415C5526561AA15841E15FE1AC5EE02B419E65F53F0AA1584182C7B316FAE02B41323AE34906A158411102319980E12B41AC2E0C5511A15841C1389DCA30E32B41D4BE4F261DA15841CDF8E968AFE42B41B07409FF2BA1584180C1DA8BD8E42B4194BF11FD2BA15841306384E2EFE42B4124DD5F173BA15841F3AC8DED17E52B41ACFAA9E241A15841
36,8,0,2019-07-10 15:09:33+02,2019-07-10 15:16:03+02,26168,26246,390,1374,3.52,01020000206A08000011000000BDF46B0D2FE52B41280752B040A158417C0EE55FFCE42B41EEFD582540A1584186DFBB1AE2E42B4110942A9B3CA15841F63B2C16EFE42B41506E56083DA15841281D173AE9E42B4151BFAE463FA1584165A5627B68E42B41CAA07B2349A15841A6BE34CD0FE42B41C289D7E056A158413AA4A02989E32B418703951F63A15841A545DAA4C4E22B41628389C07EA1584180ADF24363E12B415894C0E0C5A15841114B0DD0FFE02B414938BDD4D2A15841BA3584FAF2E02B41DA8E48FBE2A1584166AD574021E02B415DC6CA3224A25841DE3C833109E02B411B6A6BF225A25841087CB36A07E02B41143C01592DA2584155BF41CFDBDF2B41E1E1B7C341A25841BCF0C073A5DF2B41C52A6CA94DA25841
37,8,0,2019-07-10 15:38:54+02,2019-07-10 15:47:09+02,26367,26466,495,683,1.38,01020000206A080000150000000CCE4167ACDF2B415E4BE28A45A25841AC1304C593DF2B41FEC951AD43A25841B07B3C28E5DF2B41F71F3A363FA258419091580925E02B4117030D593FA258418270576728E02B41D8086CBB3AA258418E98851F00E02B41245C2F833AA25841BD0C764FE8DF2B414D4EFBB634A25841702683C5C4DF2B41726E9D851EA25841B755BB86D3DF2B41520C2DC013A258410419CDB4B1DF2B41900438240EA25841F2437433AFDF2B4137B6CF0408A258413B41195E90DF2B41475A63FA02A25841AEB52AAA9ADF2B416473DBEDFDA15841834395A47DDF2B4133793704F8A15841A6DB4C5D92DF2B4149A3E4FDE2A15841C6B05AF576DF2B419CA987C5DFA15841C84C267772DF2B41EB1F54EFCBA15841FCB9AEC14CDF2B4158DA892BC6A15841686DA21108DF2B416A725835C9A15841CA711A06FFDE2B41C873B7DAC6A15841E1DF12C702DF2B417F78DD71C8A15841
38,8,0,2019-07-10 15:49:14+02,2019-07-10 15:59:59+02,26491,26620,645,1937,3,01020000206A0800001A0000001CA17077FCDE2B41BA518B7BC9A1584177BA8F304AE02B41925C4F8CCAA1584112F8478E56E12B411BB6EDDECFA1584116E647FD28E22B41292AB0B8CDA15841A929165964E22B41C629C151CAA158419BC0CCCEDBE22B417C7923D1D3A158410CE6614F12E32B415E072CC6D3A158410CBA686D10E42B41A82F3426DFA15841EAFFD55BB5E52B41754368F3F8A15841CEB47EA7CEE72B41C5664A8E23A258416D846F773FE82B412D0CB93F2FA25841A4BEA42878E82B411C92944339A25841E82CBB8DA9E82B419F0DB8FA45A25841145649D9A5E82B41C9F828E649A258416175F98187E82B41FA14B0844DA25841B2FD845095E82B411B9B4EA250A2584124635C8602E92B41EF448D2E5AA25841630400983FE92B41A2E24D0949A258416602404470E92B4143874F4648A258415CB9D7D6A4E92B41F0254E0041A25841591E1087B0E92B4156753F943DA258412CBF1C8EACE92B415A732C9B2EA25841402E53EBD9E92B413B098F9B2BA2584162B7A29F79EA2B41EC0DB41A29A25841D3BB5C8CD4EA2B41B9E4003D25A258414C49C44830EB2B41DBB2920126A25841
39,8,0,2019-07-10 18:05:29+02,2019-07-10 18:06:19+02,28101,28111,50,58,1.16,01020000206A08000004000000E229207D4DEB2B41A267CD9A24A2584148A0E8DF43EB2B41F930FDE02BA258418FC76AA54FEB2B41A2E0FB1A29A25841DEB006EC40EB2B410033C98525A25841
40,8,0,2019-07-10 18:14:24+02,2019-07-10 18:19:19+02,28208,28267,295,442,1.5,01020000206A0800000B000000258C55B526EB2B41337A21B223A25841B4DB4156E4EA2B413DCC89FB24A25841A39F5012A9EA2B41F99F56FC28A25841909B462268EA2B414C68C2FD26A258414BDFC36C39EA2B411C5E6F3928A258411E509094FAE92B418DF94B9531A25841A46BC39EB1E92B41D2D6D3812AA25841A3450E6ABDE92B41590145813BA2584170C2EACE2DE92B41FB1D7C662FA25841AD106CB6E7E82B4198A220012FA258414A45D5C4B0E82B416C0E537D33A25841
78,12,0,2019-07-18 07:57:46+02,2019-07-18 08:26:34+02,43488,43535,1728,237,0.14,01020000206A08000008000000FFA6150844E62B417979B45D32A058411833003081E62B41DA074CF432A05841E29D1DB7BAE62B41F52D4AF828A05841A8B8F803B9E62B415C75EE382DA05841E4C9E56DD0E62B41433033A131A0584152A91E75FCE62B415C0F8D8F32A058414F4FD7CE44E72B418054E12638A0584143FF5A6E58E72B415EE38A8645A05841
41,8,0,2019-07-10 18:23:54+02,2019-07-11 04:34:59+02,28322,28701,36665,8340,0.23,01020000206A08000061000000E0DF68E19EE82B41CE7B74543BA2584186CC0366B3E82B4112CD6D133AA258419D04F83489E82B41BEC4DEC72EA258415699F62867E82B41D9DDCBB22FA25841F115B0938CE42B41932CC399D8A15841A1616F84F9E32B41F0CF463ED3A15841735C835B2AE32B41321B6CF8D3A15841414119ED34E32B4143F53D71D7A15841F1FE6564BDE02B41A68812BDCBA1584145968CD762E02B4126AC2699C7A1584161F5DB2AF8DF2B41A8958CAFC9A15841CEF93E710CDF2B416A9964D6C2A15841367C2983E1DE2B41988FE391C5A1584160FDDF09DFDE2B417D8DC1D8C8A15841CFFF187806DF2B41707B332ACCA158412476DD982EDF2B41E6E48024C9A158410B75340E82DF2B41BFFE2203D4A1584155D11D1FA1DF2B41DC876E04DCA15841CF4DA97AB6DF2B410EAF9EA3ECA158414EAA89F3CFDF2B410B42AF38F0A158414A457B4AFADF2B412E3F4D9317A2584182E37BED1AE02B416D3F4E4825A25841060ED809D8DF2B4139FE74BA36A258410F98BDE1B6DF2B41A3E4928A45A258418340F04C61E02B41539E107962A25841582BE17551E02B41277DDC606DA25841E26691968CE02B4144DFE41878A2584128554D20F2E02B4165E167ACC0A2584122940A3C42E12B41C8E34CA1C4A25841A9D7893944E22B4106DD43C7C2A2584199DFE13D5FE22B414D22E6CABFA25841B4E9988B8BE22B413F0DCE8EC1A25841DBE5DDE36FE32B41AAD648BAC2A25841B0F7A34AA1E32B4197AC4EF3C5A258415E54417BF2E32B41439BF05DD1A25841235B6E7C11E42B4171E3B5DCD3A25841404087FD3FE42B410570594BD4A25841534D00C155E42B418162F0CBDBA258413D97E5894CE42B41E9C812B6E0A258411288CAA07DE42B412C103C86DCA258412AE3A4947BE42B41D21D8081D9A258410C26EBEEB1E42B41E926D3F8D9A25841B0A2D88B37E52B41D5CAA458E3A25841059A1BDB7EE52B411AD031B1EAA25841E0C65F8123E62B41A216537CE3A25841B4A0CA0B72E62B4198D5D776E6A25841780A72DC8BE62B4159076FB9E9A25841BEADD26975E62B4142043071E9A2584164252AE9ACE62B4124FAF8D1E4A25841C895372CF1E62B41D6774622E6A25841D25279156FE72B411F9472ADE1A25841BF6253BFBEE72B41EFFD2762E4A258414EE66626C1E72B4180706201E8A258415C0B9F25A5E72B413AF549A7ECA258413FF49188ADE72B41379DCDE2F9A258416A6E28529FE72B41E88B1AF9FCA25841A06AD1282CE82B4194013BBE17A35841468F31226DE82B41292D731C33A3584100DBB131B7E82B41C3AEDEAE3EA35841228C251BDDE82B41F105A5DD3FA358413863733B6CEA2B41E867DEE385A358413DA23AC553EE2B41A704079806A45841D28F461D4FEE2B4148EC7F3609A45841A3A51A6E0BF02B415AF692BE06A458416628F8A3C1F02B41DF46026FFFA358414B8DD83C16F12B414159911B04A458418E6C2D2348F12B4134A867A802A45841455974B581F12B410B6BBFFDFFA358419DE169C601F22B4176E0D5DEF1A3584185CBDA3F13F32B41F968DC1FEAA35841190E12A85CF32B41B7B66644E3A35841F1390F9056F42B4119EEDFD5D6A358417ECAC7DBE8F52B4119A0E041A1A35841C96373DF47F62B417E73168391A35841C90FF0A398F62B41B0D8F14480A358411CCEBED258F72B4182019F194AA35841342260349DF72B41D4F2CAC63EA3584156FF8BB810F82B4123531B9F31A35841EE97BDF2C4F82B41DAAA0D1A29A35841191B5E7A6BF92B41B801F16B27A3584150E58EDBC2FB2B415A10C76E30A3584140DC641B91FC2B411EE424E431A3584182290204A2FC2B416872ED6F30A35841CEE01E1BDFFC2B41A605170533A3584147C5A18569FD2B415268A77534A35841F8136417BCFD2B41C5084EF837A35841AB35C2D032FE2B41149F7BFB41A35841E8F39A1284FF2B4150190ABB4AA35841981EDA0F3D002C411007DFDF44A35841DEDF557049002C41CEFE117239A35841506FF39F5C002C412C15934738A35841B0B4091B65002C41D78E203234A35841BBD0032581002C411D912BB610A35841384B2F5896002C4167759F6008A358410BE24B0626012C41A877702504A358411D7D576F60012C416193AC6B00A35841B44B991721022C418F00F9C7E6A25841
42,8,0,2019-07-11 08:07:45+02,2019-07-11 08:23:30+02,28760,28949,945,10851,11.48,01020000206A08000034000000F4ED8981F8012C41719B29AFD9A25841D46DD3D3E2012C41B39E1499D7A258414CC08674CC012C41DF4CAFA3DCA25841A7D34CD249022C41021FAD75E4A258419EE4CC7D62022C412C734C4AE4A2584179CCAEC983022C4174C6C5E8E7A25841C2BD80F207052C41E76768A8E8A2584138A7104113052C41010BB1C2D7A2584165712A8943052C41F9B0053BCDA25841B11582C122052C41607581EF0AA258419218FB5BE4032C415C568FC9DBA15841F7931D0180022C41B6F8CCC7B5A15841C6A69C1466002C41572745BC81A15841353AFE6CFEFE2B4178CD5A225CA158417EAAC27D12FD2B41713C032A1CA1584115319D157CFC2B41BD672BD104A1584174B36F836EFB2B416323E5EAD4A05841EA4769FAF8F82B4160AAEA5450A058411CDA7B3A70F82B413C33A7DE36A05841CAF5E31FB6F42B416DFA97848E9F584164D87F560AF32B41CC793352469F5841F05F16F5C7F12B415244A9161A9F584105A2F99516F12B41C24C300E069F5841EE3F9F3FA2EF2B41243792C6E29E5841F57F8D4B10EE2B41E70A5B09C69E58419F38C0D057EC2B4177BE99D8AF9E5841A3AEBE2975EB2B41FDBCE802A89E584148AF8CBFB0E92B417AC138A09D9E5841F58D8A491AE82B41BFB8948D999E5841686DD7789FE62B41A31ABEAA9B9E58418B0E0B4642E52B41CF4058A4A09E5841D26682216EE12B41727DFC91BD9E5841F779A567C1E02B416B7C3308C89E58418C9E6E5046E02B411B89E70CD49E58412434DDE7E9DF2B41C7CA0304E09E584122FC0156C9DE2B41290AC9ED099F58415851AE1EE2DD2B4199E3E2E9369F58419068020B3CDD2B41AB95897D4D9F5841042EE8F0DEDC2B418C24054E569F584174EF2A121ADC2B4110DE28E3629F5841D4B0A6903DDB2B4185E4AAFA689F58418355C7A1FED82B4140F79FCF679F5841C4E14EAEA9D72B4157F77F0B629F5841D55DD16401D72B4198666921639F584193D4DE3D68D52B41673EF3E86C9F58411DBD860467D32B415CFDEE79679F5841C6099E6258D32B41A982BAE8419F58416849A3F2A9CF2B411ECD08E4429F5841EA8D431992CF2B416A12BF3A6C9F58413E7187C5A7CF2B41118CA0B2999F5841CC5A1EDA72CF2B416D2A9416C09F5841B81BA80367CF2B41D008B52BDB9F5841
43,8,0,2019-07-11 09:44:55+02,2019-07-11 09:47:00+02,29913,29938,125,296,2.37,01020000206A080000060000006A7168C79BCF2B41B335702ED29F584172A6AD8C69CF2B410B249B8FD99F58412E1D3FF65ACF2B41B6203E02DF9F5841CBAC7C8DF8CE2B4148EF938511A058416CED06850FCF2B413253CDD212A05841EC3AFF46FDCE2B413EDFB25615A05841
44,8,0,2019-07-11 09:47:30+02,2019-07-11 09:59:40+02,29944,30089,730,10777,14.76,01020000206A080000340000001941B026F6CE2B41ECC2196918A05841DE20E2B8D0D02B413292CCCA0DA05841DC84B0D704D12B41DEDC03C3F89F58413494431C57D12B415ED4AD9AB59F5841609450B081D12B4130901906A09F5841EEA2DF26C9D12B415F66D2F4909F58414208F649F9D12B412D6B5C8A8A9F584179CECC757DD22B41421307B27E9F5841CCF7F0C129D32B4126084B96769F58411BD21E1D4DD32B41F8E554E0719F5841BC8078CF86D32B4174E4B9CE6F9F5841A5D9C5DBE7D32B41764A016D719F5841CC6FF503E9D62B41B87C70525F9F584177FE0E778DD72B41798C56E55D9F5841126912E7E2D82B416DE787CD639F5841FB8004602BDB2B41B63D5398649F58412C8A6988E4DB2B4123CED04B609F5841427DA4C099DC2B4168FD0342579F5841C89D8EE734DD2B413CE6FBFE479F58417C5FDFA9BEDD2B4178AD9447359F5841BB4DF9E8BDDE2B41E5E952AF069F58418A19FCB7DADF2B4157CF4E27DC9E584176E3BAD074E02B41237D242FC99E5841B4625DF72EE12B4164E194B4BA9E584199F1CBE9DFE22B41773B4FA4AC9E58413419B83D17ED2B41A5A0A636B59E584156EE0610C3EE2B41040F9C7FCE9E5841B80642AD5EF02B416BAE9B1FEF9E584198A229F51EF12B41AC315C57029F5841AF763ADE85F22B4165DEE35E2C9F58416989E12821F32B413461107C429F5841E9A67F5077F82B418323B8F434A05841F6C8E0BE77F92B41F453A1FD67A05841CC8291A463FB2B4126B8F7A0D1A0584147FC9B6CE8FB2B4149F6DA31EAA058417757DCE08EFD2B418716353D2DA158414B2C1626C8FE2B41E020D7CF54A158412B1938340E002C4189E3A7C878A15841CB90AB91A5022C415E40CD49B7A1584148DB02A4C8032C4121603604D6A15841520ACA2154042C410718A139E8A15841732659645A052C418E07860812A258413C98BA9E18062C4103DBB0C13BA25841117A855700062C41C266B39FBDA2584136BAC6FA96052C41544C257CC2A25841750A291F40052C4139A30743CDA258415B77BDD1FA042C41221AAA41E2A25841B6400653E6042C4186B15E93EEA25841B29F3065EF042C41171799CDFDA25841BA63E7E6EF022C41F36539D7F9A258419F9BB2EC71022C413A1406E3EAA258413281DFEAC1012C410D052EA6DFA25841
45,8,0,2019-07-11 14:43:45+02,2019-07-11 15:03:00+02,30166,30396,1155,5162,4.47,01020000206A0800003C000000A8BF189690022C41C876A761E3A25841A8D185D549022C41A51847DEEBA258410398B9747F012C411B661439FDA25841184ABA504E012C41A0096EB8FEA258412AF46DFCE2002C4122C0EEA0FCA25841BCB36CD0B5002C41EA7D6BC800A358411632742FB6002C413DBAC23B1EA358419D31900E9F002C41E649FDB037A35841C0FF807489002C41E2952EEE3AA35841787298B17F002C412979EB5E46A35841F07F61FD4C002C41C459B0B649A35841B151A31788FE2B413F429AB54BA35841DBDF728337FE2B41720EF89348A358418BC77849B6FD2B417FE391A83EA35841552469D16CFC2B41E2E0B4E139A35841BA47AE8451FC2B419E7A032939A3584180C0A8F34FFC2B41958D1D6735A358419F4308A075FB2B417EDBAB2D32A3584178AFF4204FF92B41FF0C69322EA35841BD94E6C127F82B4157A8375A36A35841267490FAE0F72B41637AB1203DA35841874BAA4077F72B41BD7FA5CE4BA35841ABB7A26ED5F62B410762BFA978A35841CEE8B6FC3CF62B41578B4EAB97A358417CB956B92EF42B41AD029FC3D9A35841F4BC09EA3EF22B4112F42571F1A35841BAD836D95BF12B417F8B832B06A458414DFA06B7D6F02B412FF9588406A458416F27C97933F02B414BE75D0004A4584125F8331D76EF2B418857F4C708A45841C94C018C2BEF2B41C6D4EA1F0FA45841AC1F06270FEE2B41F2A9EA170FA458412A97193EE1EC2B41EA701D74E5A35841B0F6CE039CEB2B415D2F76BBBCA358417707DA0B39EB2B41F01A8114B5A35841FB021BEF26EB2B41996992C9ABA3584187AB0C0FD4EA2B4141B81998A5A358410766B51E50EA2B412640745395A35841621D82B376E92B416D19A5AA6FA358410A6217E9BDE82B41D9BE7AD353A35841F25C86F069E82B419DA759B33DA358414AFB6E6104E82B419FB124472FA358418E8336F5DAE72B4173D32D4820A358411AF606B0A5E72B41C272463C16A3584136E217D8AAE72B4176060A7F05A35841974C0FC197E72B41AEA8F3EBFBA2584148B3FA296AE72B41EEA8AF07FBA2584180E0291F06E72B41C072C4A900A358416DFF15E79DE62B412807576803A35841A02B111390E62B413CD5781B05A358416EF763B899E62B410D3DC31C08A358419ACC67937BE62B41679CBD090BA35841E3D33A3742E62B414628824C06A358418ADD903420E62B41B8B8E10C08A3584157233FE803E62B41C0A1132407A358411048377EF0E52B41618DF88402A358417C530D4F11E62B41369D8FD3F7A258415B37BB75F9E52B41177DAFD2E6A25841FAF5A75D0BE62B41D000D195E4A2584165ADA9AB23E62B416A3B67C8E4A25841
46,8,0,2019-07-11 15:04:00+02,2019-07-11 15:11:05+02,30408,30493,425,1253,2.95,01020000206A08000018000000820427AE33E62B411A4AB2AAE4A2584178E9B5CF38E62B41AC5D3529E3A258411009C35626E62B41A13DF3B5E2A25841805DF791B7E52B41814A414CE8A2584195A652FE66E52B417DB02D0DE6A258412165C85F92E42B412A1611A4D6A25841FA6F965A5FE42B415747A8CCCFA25841F061699CC4E32B41D131554EC2A258418535FEAA8FE32B41833DC893BFA2584124339C98D8E22B413CB36374C0A25841C27B7B79A6E12B41181F45B8C8A25841CE676AF16CE12B41C7021F7BC6A258417CC7BB3E2BE12B414BD64929C9A25841B4F46F2A50E02B41F1189DB0C6A25841F0734A87D6DF2B41BDB7ACB6CDA2584162ACF9D849DF2B41565D7FCDCDA258411B3A5F3A0CDF2B4114D301F2CFA25841B4670816D7DE2B4155A2FF72D7A25841898D3BEA3DDE2B41727FDF0CDBA2584110AE9C7545DE2B41C939C686D5A258416FA0AB5E32DE2B41AC00D144D8A258412C177A3022DE2B41D3494E86E2A25841BA26DF254EDE2B41A0E0A134ECA258410D3A12E139DE2B41E26CD460F0A25841
47,8,0,2019-07-11 15:11:55+02,2019-07-11 15:21:35+02,30503,30619,580,779,1.34,01020000206A08000013000000892DC05B06DE2B410F003BCEF5A258415FBD81A31FDE2B41744BF64FF5A258419483634200DE2B4140EC8E07F7A25841A58228FF2BDE2B41B36E4F3CF3A258414759C4C12FDE2B4156D887C0F5A25841EE36B91348DE2B41A24C4222F1A25841DF1F24024CDE2B41D73AC882E9A258419992497232DE2B413327861FE9A2584142CC07A766DE2B419E0FF4D5D4A258413481231C7CDE2B41EE08ECECC0A25841AEA2651D71DE2B4151ACE062B7A25841C011175E5BDE2B4127A59375B6A258418037FE1723DE2B41ED709513A7A25841000C736F49DE2B41D2A77DDCA3A25841876BF11577DE2B4188A93598A3A258412CE5D72D89DE2B4117DFABC39EA2584176301A76CFDE2B41C4B615E695A258413872B2754CDF2B41B478A70A68A258416C4A4BC95BDF2B4100FF70305BA25841
48,8,0,2019-07-11 16:13:10+02,2019-07-11 16:23:30+02,30716,30840,620,843,1.36,01020000206A080000140000008846D5C394DF2B41F0D1B1544EA258412D3FC7AC71DF2B41C4CEA82451A2584137682ECDE5DE2B41C319C5F753A258413845A49239DE2B414DE35A6E54A2584112FA65301BDE2B410C6370225AA258412C3530F3E9DD2B4148FCA91B5AA25841B8D17417B4DD2B417F4AB64D62A2584126608BECABDD2B41BBB2F1176AA25841888F32C296DD2B41A403F0CE6BA25841FE01787578DD2B414F51D77E7FA25841593CD3FF01DD2B416F7C0E4B88A258416E6D3541EADC2B410FBC8EA08EA25841285DA362CCDC2B41AD1C309C8FA258418EDC4FF0DDDC2B4101A190079BA25841E1879DF2D1DC2B41C8A7C788A0A25841FE58DE2793DC2B41F6729F08A5A258418FCEFB05F1DB2B41329E400FA4A25841A2458318EADB2B419147D498B6A2584160267E1CA3DB2B4141D9C169BAA25841E0EA275B5FDB2B4184FB6026B9A25841
49,8,0,2019-07-11 19:53:05+02,2019-07-11 20:05:35+02,32035,32183,750,986,1.31,01020000206A08000018000000E0A0F785FCDA2B41DC196E5DBBA25841E0282BDD10DB2B417C730EC9B9A25841535BD8F0C0DB2B41F3008456BEA258414D560F8DC7DB2B41A1790730A8A258417125A3283EDC2B41A93E6C45AAA25841789310D97EDC2B415184411DAEA2584114BCC577C8DC2B41E5D07D4AA9A25841FBD031D1EADC2B41BF212629A9A25841F9044C7223DD2B41145FBBC8ACA2584156A7B76AA7DD2B41211C4423A9A25841F06F54A303DE2B4134AD34F8AAA25841464686AB1EDE2B41A2250511A5A25841CC65D7D693DE2B417C4192CFA3A2584104CB5401A3DE2B414E84360DA1A25841D81B6FB9DEDE2B411596CA349EA258413EEDB7BE00DF2B4175926F9C98A25841DCB41E5B19DF2B41F8E409C582A25841EB83EEDB41DF2B41DF202F907AA258419873AE1935DF2B41D368E37A76A25841144C098550DF2B41D7B7C8F45FA258414A0AB38F6CDF2B411B2A4D4C58A25841BC8FB3A27FDF2B41499A047958A25841636785FD94DF2B413A6C58BB5CA25841529A20BF8CDF2B4113CCDAAA53A25841
50,8,0,2019-07-12 04:11:00+02,2019-07-12 04:16:50+02,32310,32379,350,1354,3.87,01020000206A0800000E000000EF15712A69DF2B411D98C6D84CA2584128445D496FDF2B41DEDAAD664EA25841C9E1D74879DF2B41323F5E634BA25841BE624CE574DF2B41ABDD4F8B43A258415E47FE43CBDF2B41DE3F01CB30A2584170F9C740ECDF2B415104D7FC1AA258410849D74C14E02B41F7663B8C12A2584127A096BE4CE02B41CD22A64C0EA2584102F9F150D3E02B4130D4660CDFA1584148BF7BEF28E12B415628CB24BAA15841EC8217A6B0E12B41C3D0A39A9DA1584149A898D84BE22B41B69254A182A15841DF3D081809E42B41F2368EC151A15841AC279B82EAE42B4139D4D0793DA15841
66,12,0,2019-07-16 08:46:08+02,2019-07-16 08:48:48+02,38749,38781,160,215,1.34,01020000206A0800000A0000003FC7E93E6CE72B4174CB95E345A058414C24E00E52E72B41000E749E49A05841781EE41168E72B41F3E41AB947A05841B382A56B67E72B41604DEF6244A0584134D069A740E72B415BF7B07C41A05841541B5BBD3BE72B411ED2E41732A05841A85AB13F2AE72B4165C20FE830A0584180CD2B48E7E62B4184A16A4634A05841A05A4C51D1E62B410D725C5D2FA05841FEB3462DD3E62B41324CB97B2BA05841
67,12,0,2019-07-16 10:11:23+02,2019-07-16 10:12:58+02,38864,38881,95,143,1.51,01020000206A08000004000000D19C208BC6E62B411A36F7D83AA05841235C99DEBDE62B41A475F22637A058417F4556C4DCE62B41C769497445A058411D1A682BA7E62B414E33A7D935A05841
51,8,0,2019-07-12 04:17:55+02,2019-07-12 04:37:00+02,32392,32621,1145,4703,4.11,01020000206A08000029000000F47DC7FEEAE42B41767AE99D3DA15841BF5CB97EE8E52B41E09F382E29A158410ACA492AE0E72B412D884B2611A158415DC93912ADE82B41A72E176A0BA15841EE0396DF28E92B4123486CEE0AA15841C5AC6FF935E92B41AA23182507A15841E9EE3D83AAEA2B4180EB99120BA158412233D956CFEA2B41475390B607A158419C00F820D5EA2B41A54A4BF301A158418F23810002EB2B413DBC71C100A158419A83F13D23EC2B41D9ED02C701A1584172BB38F0D9EC2B4107F052AC0FA15841332D18FF4FEE2B4102F307451CA1584154E8BBCDA9F02B41990ECA733BA15841EFE3ED59E9F02B4197A31F9740A15841BB721FB3CFF12B411B76640247A158410D686D0968F32B41B6282FCA61A158414371F7D98BF32B41350ACDD565A15841CA681B1578F42B419DBBC85173A158411C31690C48F52B4126182B1B7AA158415AF9780C40F72B41CAEDD2A894A158419A1734D572F72B41B9B8D8AF96A1584109961BF6A0F72B41859430AF95A1584197A0A03F31F92B417CFAB13DADA158410AEB2F9EB6F92B410CC410EDB0A158414CDA6DDA39FA2B411D83CC7DB8A158413F9F3D74B2FA2B41148AA0DCBCA158412CED833478FB2B41CCAECE22CAA158418E26513F84FD2B41B500640BE4A15841995E267BD3FE2B419A759D1705A258416EC48625FDFE2B411DD19D520FA25841BF2A64B808FF2B41C3DE303E46A25841026B9F392CFF2B412F5CBFE151A258416694C29331FF2B41533763C069A258416FB19286A5FF2B410943743C84A25841C03B775BE5FF2B41D7A539009AA2584139C14F7DAFFF2B41102913FEBEA258419984644AA6FF2B41BD9E2EE6CFA25841B487967FB5FF2B41ABCBD793D3A2584120CFFE68A4002C416EF0D75DD5A25841EEC33F2E4B012C4133421310DEA25841
